issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.37,-0.04,0.15,-0.52,0.12,-0.21
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.01,-0.61,-0.69,0.51,-0.34,0.29
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.13,0.8,0.76,-0.11,-0.59,0.26
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.27,0.38,0.81,0.57,0.25,0.2
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.57,0.3,0.63,0.84,0.83,0.12
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.48,-0.33,1.0,0.05,0.63,0.19
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.01,-0.3,0.08,-0.99,0.75,0.12
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.95,0.64,-0.73,-0.94,-0.08,0.92
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
