issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.56,0.91,0.93,-0.34,0.53,0.26
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.69,0.91,-0.59,-0.18,0.46,0.18
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.88,-0.11,0.24,-0.84,-0.54,-0.76
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.53,-0.96,0.88,0.67,0.36,-0.94
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.48,-0.73,0.42,-0.86,0.78,0.11
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.79,-0.08,-0.72,-0.15,0.43,0.39
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.3,-0.3,-0.85,-0.82,-0.9,-0.85
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.23,0.63,-0.32,0.01,0.25,0.17
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
