issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.7,-0.32,-0.55,-0.18,0.37,-0.87
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.64,0.39,0.5,0.24,0.76,-0.66
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.41,0.83,-0.7,-0.51,0.09,-0.31
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.38,-0.88,-0.68,0.43,0.94,0.86
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.8,-0.74,-0.71,-0.86,0.09,0.76
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.06,0.56,-0.62,0.73,-0.63,-0.89
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.16,0.11,0.94,-0.82,-0.45,-0.79
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.22,-0.42,0.03,-0.3,0.86,0.58
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
