issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.22,0.43,-0.89,-0.98,-0.71,0.87
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.73,-0.19,-0.68,-0.29,0.87,0.29
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.06,-0.2,0.79,0.95,0.56,0.67
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.39,0.88,-0.09,-0.64,0.19,0.37
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.13,-0.25,0.41,-0.48,0.37,0.15
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.33,0.35,-0.91,0.1,0.19,-0.43
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.29,0.73,0.24,0.28,-0.79,-0.52
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.44,0.4,-0.11,-0.92,-0.9,-0.82
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
