issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.63,0.44,0.88,0.96,-0.64,-0.54
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.43,0.49,0.21,0.75,-0.5,-0.32
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.01,-0.37,0.09,0.36,-0.56,-0.03
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.99,-0.35,-0.93,0.63,0.01,-0.89
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.78,-0.19,0.86,-0.2,-0.85,-0.51
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.3,0.5,-0.63,-0.14,0.75,0.07
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.79,-0.95,0.41,0.96,0.57,0.53
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.35,0.59,-0.92,-0.47,0.39,0.73
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
