issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.52,0.6,-0.94,0.01,-0.43,-0.43
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.22,0.07,0.55,0.92,-0.7,-0.21
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.67,0.67,-0.83,0.71,0.48,0.72
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.78,-0.7,0.11,-0.39,-0.46,-0.97
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.03,-0.96,0.8,-0.47,-0.01,0.27
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-1.0,-0.77,-0.07,0.25,0.64,-0.17
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.85,0.19,-1.0,0.36,-0.57,-0.97
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.47,0.1,0.57,-0.82,-0.29,-0.4
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
