issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.81,-0.87,0.76,0.64,0.64,-0.06
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.15,-0.2,0.16,0.46,0.57,0.31
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.12,-0.18,-0.36,-0.43,-0.41,0.37
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.52,0.2,-0.55,-0.61,0.53,0.96
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.97,-0.5,0.58,0.44,-0.51,0.11
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.17,0.44,-0.07,-0.19,-0.38,-0.52
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.81,0.29,0.34,0.37,-0.99,-0.12
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.75,0.05,0.96,-0.0,-0.25,0.63
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
