issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.98,-0.43,-0.67,-0.56,-0.58,-0.85
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.27,-0.43,0.78,0.56,-0.78,0.7
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.78,0.44,0.15,-0.83,0.81,0.75
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.69,-0.26,-0.55,0.99,0.63,-0.92
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.25,0.62,0.06,-0.51,0.59,-0.48
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-1.0,-0.54,0.99,0.31,-0.56,0.37
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.37,0.28,-0.86,-0.51,0.74,0.47
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.66,-0.4,0.13,0.65,-0.6,-0.8
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
