issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.22,-0.65,0.84,-0.62,0.47,0.91
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.04,0.63,-0.14,0.63,0.52,0.92
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.33,0.53,0.84,0.62,0.63,0.9
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.42,-0.12,-0.79,0.75,-0.31,0.81
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.59,-0.3,0.38,0.85,0.38,-0.32
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.92,-0.34,-0.05,0.46,0.79,-0.99
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.85,-0.44,0.07,0.07,-0.15,0.77
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.45,-0.73,-0.53,0.01,-0.27,0.62
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
