issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.18,-0.9,0.49,-0.41,-0.2,-0.25
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.33,-0.83,0.1,-0.97,0.97,0.2
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.23,-0.71,0.39,0.81,-0.36,0.53
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.43,0.91,0.4,0.25,0.86,-0.46
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.85,0.36,0.54,0.14,0.67,0.4
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.71,0.22,-0.44,0.83,-0.6,-0.43
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.9,-0.1,0.12,0.15,0.81,-0.31
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.1,0.7,0.15,0.31,-0.44,-0.03
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
