issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.33,-0.96,-0.26,0.94,0.06,0.48
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.31,-0.08,-0.58,0.67,-0.28,-0.93
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.38,-0.69,0.6,-0.97,0.17,-0.01
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.99,-0.73,0.35,-0.81,-0.68,0.98
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.61,-0.51,0.69,-0.93,0.07,-0.82
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.94,0.17,0.11,-0.36,0.7,0.06
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.97,-0.63,-0.13,-0.84,-0.44,-0.5
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-1.0,0.39,0.55,0.64,0.7,-0.7
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
