issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.48,0.13,0.26,-0.76,-0.38,0.17
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.21,0.33,0.7,-0.62,0.81,-0.23
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.89,0.23,0.58,0.03,0.06,-0.34
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.74,-0.23,-0.57,-0.93,-0.45,-0.64
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.75,-0.84,-0.63,0.41,0.84,-0.5
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.96,0.92,0.36,-0.38,-0.06,0.2
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.25,0.75,0.45,0.91,-0.3,0.87
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.04,0.28,0.47,0.62,-0.21,-0.1
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
