issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-1.0,-0.05,0.31,0.69,-0.63,0.71
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.27,0.78,-0.94,-0.83,0.96,0.22
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.16,-0.66,0.3,-0.93,-0.38,-0.35
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.21,0.3,0.69,0.86,0.32,0.16
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.2,0.93,-0.69,0.79,-0.38,0.1
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.36,-0.53,-0.66,0.02,0.58,0.38
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.76,0.8,-0.04,0.89,0.11,-0.83
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.6,0.71,0.41,0.79,-0.34,0.06
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
