issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.76,0.75,0.98,0.43,0.75,-0.36
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.78,0.73,-0.39,-0.16,0.29,0.21
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.16,-0.23,-0.75,0.07,-0.53,0.51
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.35,-0.86,0.98,0.56,-0.54,-0.94
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.04,-0.29,0.09,0.32,0.59,-0.97
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.43,-0.41,0.97,0.69,0.12,0.2
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.62,-0.55,-0.69,-0.24,-0.78,0.02
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.28,-0.76,-0.31,-0.86,0.05,0.3
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
