issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.46,-0.65,-0.24,-0.12,-0.16,0.83
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.46,-0.3,-0.57,-0.26,-0.22,0.15
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.44,-0.48,0.44,0.82,-0.76,-0.64
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.73,0.37,-0.57,0.21,-0.6,0.64
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.37,0.34,-0.7,-0.39,-0.41,0.27
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.36,0.69,-0.63,0.52,0.42,0.12
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.3,-0.82,-0.71,-0.17,0.42,-0.66
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.22,-0.0,0.87,-0.89,0.66,0.97
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
