issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.87,-0.29,0.24,0.96,0.29,-0.91
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.07,-0.33,0.06,-0.43,-0.76,0.34
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.36,0.73,-0.74,0.6,0.65,0.29
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.59,-0.48,-0.16,0.08,-0.05,-0.07
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.68,0.74,0.63,0.76,0.14,0.93
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.21,0.21,-0.36,0.36,-0.9,-0.73
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.74,0.31,-0.65,-0.32,-0.91,-0.53
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.93,0.02,-0.7,0.05,0.89,0.73
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
