issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.26,-0.13,-0.38,-0.58,0.54,0.87
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.24,0.07,0.77,-0.91,-0.39,-0.24
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.94,0.04,0.88,0.59,0.07,0.35
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.57,-0.48,-0.45,0.21,0.35,-0.99
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.71,-0.71,0.02,0.12,-0.99,-0.14
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.07,0.38,0.81,-0.86,-0.43,0.06
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.42,-0.16,0.96,-0.89,0.86,0.34
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.0,-0.07,0.12,-0.42,-0.66,0.24
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
