issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.26,-0.38,0.67,0.71,-0.26,-0.27
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.97,0.1,-0.69,-0.77,-0.89,-0.64
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.69,-0.93,0.96,0.32,-0.23,-0.88
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.91,0.61,-0.15,-0.78,-0.67,0.36
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.15,-0.81,-0.22,-0.91,-0.46,0.01
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.09,0.54,-0.68,0.02,-0.72,-0.62
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.18,-0.71,0.12,-0.09,0.88,0.34
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.79,0.21,-0.16,0.0,0.31,-0.63
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
