issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.44,0.19,0.49,0.8,0.39,0.18
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.75,-0.19,0.16,0.21,0.92,-0.59
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.33,-0.49,-0.16,0.94,-0.34,-0.28
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.12,-0.92,-0.2,0.24,0.16,0.75
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.28,0.11,0.28,-0.9,0.99,-0.7
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.16,-0.41,0.15,0.12,-0.3,0.95
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.5,0.78,-0.09,0.2,-0.17,-0.39
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.05,-0.62,-0.57,0.02,-0.97,-0.11
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
