issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.7,0.65,0.42,-0.2,-0.66,0.75
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.28,0.99,-0.8,-0.51,-0.83,0.49
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.68,0.76,-0.02,0.05,-0.91,0.23
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.54,-0.57,0.79,0.78,-0.99,0.66
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.8,0.02,0.31,0.54,0.37,-0.08
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.15,0.15,0.68,-0.52,0.51,0.62
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.59,0.62,0.66,-0.16,0.24,0.51
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.54,0.92,0.95,0.13,-0.07,0.67
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
