issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.13,0.65,0.0,0.54,0.02,0.14
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.63,0.09,-0.6,0.11,-0.72,-0.63
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.53,-0.86,-0.26,0.76,-0.79,-0.28
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.77,0.75,-0.75,-0.49,-0.16,0.33
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.31,-0.57,-0.25,0.14,0.98,-0.35
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.28,0.41,-0.4,-0.3,0.99,0.21
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.66,-0.94,-0.71,0.46,0.08,0.99
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.01,-0.23,-0.61,0.18,0.53,0.85
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
