issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.94,-0.43,0.61,0.99,-0.78,0.06
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.63,-0.25,-0.11,0.5,-0.8,-0.28
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.13,-0.52,0.68,0.53,0.93,0.05
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.79,0.87,0.67,0.09,0.67,0.76
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.55,0.14,0.23,0.69,0.24,-0.59
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.38,0.06,-0.47,-1.0,-0.53,0.35
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.76,0.66,-0.78,-0.86,0.52,-0.43
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.46,-1.0,-0.8,-0.73,-0.68,-0.11
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
