issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.16,0.88,-0.64,-0.03,0.79,-0.87
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.44,-0.59,0.97,-0.06,0.78,0.71
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.79,-0.3,-0.01,0.76,0.96,-0.33
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.56,0.72,-0.44,-0.6,0.29,0.13
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.69,0.48,-0.28,0.21,-0.99,0.18
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.47,-0.31,0.52,-0.15,-0.15,-0.4
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.48,0.83,-0.11,0.97,0.6,-0.38
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.53,-0.28,-0.19,-0.01,0.4,0.68
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
