issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.52,-0.7,-0.47,0.38,-0.97,-0.94
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.42,-0.33,-0.28,0.61,-0.93,-0.28
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.28,-0.71,0.72,0.29,-0.77,-0.58
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.49,-0.19,-0.03,0.77,-0.73,0.93
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.91,-0.8,-0.55,0.61,-0.09,0.31
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.65,-0.67,0.04,0.48,-0.08,0.74
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.32,-0.5,-0.53,-0.25,0.51,0.88
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.72,-0.48,-0.18,0.22,0.09,-0.22
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
