issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.07,-0.59,0.13,-0.38,0.3,0.03
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.69,-0.74,-0.5,0.2,0.25,-0.17
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.8,0.62,0.08,-0.19,-0.21,-0.77
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.87,-0.53,-0.69,0.02,-0.09,-0.85
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.15,0.4,-0.02,-0.85,-0.64,-0.77
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.17,-0.83,-0.23,-0.71,-0.18,0.25
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.28,0.79,-0.17,0.87,0.64,-0.77
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.79,-0.73,0.28,0.37,0.58,0.08
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
