issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.62,0.72,-0.08,0.86,-0.48,0.87
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.24,0.97,-0.93,0.45,0.13,-0.02
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.48,-0.35,-0.5,-0.56,0.6,0.0
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.83,0.55,0.07,0.48,0.03,-0.2
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.97,-0.94,0.87,0.86,-0.22,-0.57
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.24,-0.64,0.61,-0.49,-0.42,0.83
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.81,0.07,0.73,-0.29,1.0,-0.13
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.41,-0.92,0.98,-0.07,0.47,0.28
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
