issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.24,-0.73,-0.93,-0.77,-0.05,-0.95
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.25,-0.8,-0.5,-0.15,-0.77,-0.46
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.96,0.97,0.22,-0.24,-0.95,-0.22
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.09,0.86,-0.44,0.23,0.33,-0.63
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.01,0.57,-0.81,0.21,-0.95,-0.99
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.88,-0.04,0.85,-0.19,-0.85,0.72
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.04,-0.36,0.93,0.88,-0.48,-0.6
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.18,0.69,-0.33,0.17,-0.68,-0.61
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
