issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.7,0.08,0.22,-0.05,0.87,0.23
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.24,0.72,-0.23,-0.87,0.48,0.69
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.04,-0.06,-0.8,-0.37,-0.63,0.49
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.68,0.37,-0.12,-0.99,0.4,0.59
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.32,-0.05,-0.9,-0.55,0.39,-0.72
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.54,0.39,-0.86,0.46,0.25,0.3
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.36,0.08,-0.84,-0.43,-0.59,0.02
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.3,0.23,-0.73,-0.64,-0.01,-0.96
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
