issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.34,0.04,-0.62,-0.06,-0.32,0.41
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.55,0.69,0.05,0.0,-0.49,-0.63
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.06,0.96,-0.73,-0.43,0.6,0.33
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.44,-0.37,-0.16,0.21,0.44,0.71
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.36,-0.53,0.85,0.56,-0.39,-0.39
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.76,-0.75,0.27,-0.44,0.65,-0.27
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.47,-0.62,-0.04,0.61,-0.21,-0.68
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.3,0.51,-0.44,-0.1,0.8,0.74
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
