issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.59,0.74,-0.37,-0.73,0.59,0.13
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.17,-0.88,-0.99,-0.37,-0.46,-0.05
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,0.85,-0.17,-0.42,0.69,-0.39,0.83
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.73,0.28,0.5,-0.69,0.21,-0.35
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.02,-0.55,0.8,-0.18,-0.05,0.44
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.76,0.01,0.63,0.35,-0.36,0.42
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.87,0.79,0.48,-0.47,-0.26,0.12
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.24,-0.09,0.59,-0.79,0.95,0.41
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
