issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.59,-0.17,0.26,-0.79,0.44,-0.04
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.24,-0.1,-0.26,-0.52,0.83,0.6
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.33,-0.66,-0.77,0.59,0.4,-0.85
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.77,0.83,0.74,-0.42,-0.8,0.62
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.95,0.27,-0.68,0.38,-0.66,-0.3
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.76,-0.43,-0.74,-0.07,0.3,-0.21
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.91,0.51,0.09,0.13,-0.36,0.03
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.52,-1.0,-0.04,0.81,0.7,-0.56
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
