issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.42,-0.19,-0.94,0.83,0.37,0.82
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.4,0.89,0.73,0.77,-1.0,-0.25
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.76,0.87,0.03,-0.02,-0.03,0.14
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.09,0.83,0.77,0.57,-0.35,0.57
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.71,0.72,0.55,0.55,0.06,-0.1
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.55,0.62,0.93,0.09,0.8,-0.44
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.04,-0.34,0.98,-0.5,0.36,0.53
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.94,0.96,-0.82,0.23,-0.7,0.04
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
