issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.17,0.58,0.08,0.96,-0.12,0.9
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.84,-0.15,-0.18,-0.96,-0.1,-0.6
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.33,-0.43,0.34,-0.12,0.2,0.69
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,0.67,0.17,-0.12,-0.2,-0.86,-0.07
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.19,-0.6,0.61,0.4,0.95,-0.23
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,-0.17,0.04,-0.29,0.09,0.78,0.46
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.59,0.6,0.59,0.6,-0.37,0.23
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,0.3,-0.76,0.84,-0.26,0.38,0.86
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
