issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,-0.11,-0.26,0.07,0.23,-0.21,-0.63
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,0.17,-0.93,0.79,0.29,-0.81,0.1
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.74,-0.76,-0.47,0.53,0.4,0.12
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.49,0.04,0.86,-0.63,0.47,0.74
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,0.34,-0.59,-0.74,0.03,-0.74,0.65
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.05,-0.42,0.14,-0.48,0.17,-0.54
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,-0.56,0.04,0.67,0.29,-0.81,-0.73
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.22,-0.36,0.78,0.78,-0.94,-0.58
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
