issue,option,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6
Issue_1,on,0.72,-0.74,0.15,-0.57,0.74,-0.97
Issue_1,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_2,on,-0.79,-0.25,-0.2,-0.45,-0.81,-0.76
Issue_2,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_3,on,-0.36,0.9,-0.59,0.49,-0.48,-0.93
Issue_3,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_4,on,-0.97,-0.69,-0.08,0.51,0.46,-0.3
Issue_4,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_5,on,-0.04,0.63,0.68,-0.36,-0.99,-0.91
Issue_5,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_6,on,0.48,-0.45,-0.04,-0.62,0.69,0.01
Issue_6,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_7,on,0.05,-0.42,0.02,-1.0,-0.45,-0.3
Issue_7,off,0.0,0.0,0.0,0.0,0.0,0.0
Issue_8,on,-0.43,-0.83,0.04,0.58,0.89,-0.01
Issue_8,off,0.0,0.0,0.0,0.0,0.0,0.0
reservation,N/A,0.0,0.0,0.0,0.0,0.0,0.0
target,N/A,2.0,2.0,2.0,2.0,2.0,2.0
