issue,option,Party_1,Party_2
Issue_1,on,-0.74,0.77
Issue_1,off,0.0,0.0
Issue_10,on,-0.19,-0.39
Issue_10,off,0.0,0.0
Issue_2,on,-0.69,-0.28
Issue_2,off,0.0,0.0
Issue_3,on,-0.28,-0.44
Issue_3,off,0.0,0.0
Issue_4,on,-0.29,0.09
Issue_4,off,0.0,0.0
Issue_5,on,-0.84,-0.25
Issue_5,off,0.0,0.0
Issue_6,on,0.17,-0.73
Issue_6,off,0.0,0.0
Issue_7,on,-0.51,-0.37
Issue_7,off,0.0,0.0
Issue_8,on,-0.85,0.62
Issue_8,off,0.0,0.0
Issue_9,on,-0.47,-0.18
Issue_9,off,0.0,0.0
reservation,N/A,0.0,0.0
target,N/A,2.0,2.0
